Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),CIE coordinate (Y)
Ca9Bi0.92P7O28Ce0.08,45,28,0.08,27.92,184,83,8,75,436.147161998,208.9804,15.999,192.9814,685,185,60,125,9.649999999999999,3.44,1,2.44,20,6,2,4,43.042011200000005,13.618054,5.5386,8.079454000000002,590,224,4.64,219.36,1228.961581986,447.97200000000004,11.209280000000001,436.76272000000006,4162,1680,14.8,1665.2,122.4876,96.32,0.08960000000000001,96.23039999999999,225.76,168,0.16,167.84,516.87647352,381.305512,0.443088,380.86242400000003,298,292,0.011
Li6Lu0.97B3O9Ce0.03,19,9,0.03,8.97,145,71,3,68,348.83180000000004,174.9668,6.94,168.0268,650,185,60,125,8.579999999999998,3.44,0.98,2.46,14,6,1,5,38.272258761,13.618054,5.391714761,8.226339239000001,175.61,72,1.74,70.26,391.98227600000007,169.717796,4.20348,165.51431599999998,1840.3,870,5.55,864.45,43.9636,30.96,0.033600000000000005,30.9264,71,54,0.06,53.94,185.236084436,122.562486,0.16615799999999997,122.39632800000001,298,350,0.015
Gd0.99BO3Ce0.01,5,3,0.01,2.99,135,64,5,59,324.175,157.25,10.81,146.44,510,185,60,125,7.8,3.44,1.12,2.32,13,6,2,4,33.604469,13.618054,5.5386,8.079454000000002,92.94,63.36,0.58,62.78,215.88566000000003,155.6775,1.4011600000000002,154.27634,445.05,180,1.85,178.15,13.5592,10.32,0.011200000000000002,10.3088,23,18,0.02,17.98,55.29586504,40.854162,0.055386,40.798776000000004,298,356,0.018
K2CaP2O7Ce0.02,12.02,7,0.02,6.98,120,58,8,50,266.265061998,140.116,15.999,124.11700000000002,745,220,60,160,8.57,3.44,0.82,2.62,16,6,1,5,40.097158740000005,13.618054,4.34066354,9.27739046,145.16,56,1.16,54.84,295.017443996,111.99300000000001,2.8023200000000004,109.19068000000001,1243.7,440,3.7,436.3,31.1224,24.08,0.022400000000000003,24.057599999999997,56.04,42,0.04,41.96,131.20500428,95.326378,0.110772,95.21560600000001,298,316,0.0187
LiCa0.99GeO4Ce0.01,7,4,0.01,3.99,121,58,3,55,275.76300000000003,140.116,6.94,133.17600000000002,695,185,60,125,8.55,3.44,0.98,2.46,15,6,1,5,38.560958961000004,13.618054,5.391714761,8.226339239000001,87.38,32,0.58,31.42,184.64438,72.63,1.4011600000000002,71.22883999999999,690.0500000000001,240,1.85,238.15,17.751199999999997,13.76,0.011200000000000002,13.7488,31,24,0.02,23.98,73.870775409,54.472216,0.055386,54.416830000000004,298,353,0.022
Sr4.99P3O12ClEu0.01,21.000000000000004,12,0.01,11.99,141,63,8,55,322.006761998,151.964,15.999,135.965,645,200,60,140,9.74,3.44,0,3.44,22,7,2,5,48.43762219999999,13.618054,5.670385,7.947669000000001,348.25,189.62,0.63,188.99,759.1027259940001,437.22380000000004,1.51964,435.70416000000006,2119.85,998,1.85,996.15,55.7505,41.28,0,41.28,104,72,0.02,71.98,236.318427178,163.416648,0.05670385,163.35994415000002,298,277,0.023
CaZrO3Bi0.009,5.009,3,0.009,2.991,151,83,8,75,356.2814,208.9804,15.999,192.9814,555,180,60,120,7.67,3.44,1,2.44,17,6,2,4,33.6506252,13.618054,6.1131552,7.504898800000001,84.747,40,0.747,39.253,181.17982360000005,91.224,1.8808235999999998,89.3431764,516.44,180,1.44,178.56,12.6671,10.32,0.017099999999999997,10.302900000000001,24.045,18,0.045,17.955,53.666786844,40.854162,0.065569644,40.788592356,298,310,0.0254
KSrSc2P3O12Ce0.03,19.03,12,0.03,11.97,159,58,8,50,358.762969998,140.116,15.999,124.11700000000002,925,220,60,160,9.879999999999999,3.44,0.82,2.62,19,6,1,5,46.24036074000001,13.618054,4.34066354,9.27739046,241.74,96,1.74,94.26,505.742881994,191.988,4.20348,187.78452,1765.55,720,5.55,714.45,52.3736,41.28,0.033600000000000005,41.2464,96.06,72,0.06,71.94,218.20137474,163.416648,0.16615799999999997,163.25049,298,310,0.027
MgYSi2O5NCe0.01,10.01,5,0.01,4.99,138,58,7,51,311.41784,140.116,14.007,126.10900000000001,750,185,60,125,12.030000000000001,3.44,1.12,2.32,22,6,2,4,55.705962,14.53413,5.5386,8.995529999999999,126.58,40,0.58,39.42,264.784,88.90584,1.4011600000000002,87.50468,916.85,300,1.85,298.15,26.5812,17.2,0.011200000000000002,17.1888,48.02,30,0.02,29.98,112.846647,68.09027,0.055386,68.034884,298,365,0.029
RbCaGdP2O8Ce0.1,13.1,8,0.1,7.9,202,64,8,56,469.884561998,157.25,15.999,141.251,940,235,60,175,9.77,3.44,0.82,2.62,18,6,1,5,46.0834192,13.618054,4.177128,9.440926000000001,220.8,64,5.800000000000001,58.2,486.74692399599996,157.25,14.011600000000001,143.2384,1293.5,480,18.5,461.5,35.032000000000004,27.52,0.11200000000000002,27.408,63.2,48,0.2,47.8,146.9117432,108.944432,0.55386,108.390572,298,334,0.0294
NaCaPO4Ce0.02,7.02,4,0.02,3.98,112,58,8,50,250.15653127800002,140.116,15.999,124.11700000000002,705,185,60,125,8.68,3.44,0.93,2.51,16,6,1,5,40.89557190000001,13.618054,5.1390767,8.4789773,79.16,32,1.16,30.84,160.83985127800003,63.996,2.8023200000000004,61.19368,703.7,240,3.7,236.3,17.9024,13.76,0.022400000000000003,13.7376,32.04,24,0.04,23.96,76.3219059,54.472216,0.110772,54.361444000000006,298,328,0.03
Ca0.96ScAlSiO6Ce0.04,10,6,0.04,5.96,134,58,8,50,296.2154465,140.116,15.999,124.11700000000002,820,185,60,125,10.43,3.44,1,2.44,20,6,2,4,45.96875060000001,13.618054,5.5386,8.079454000000002,117.52,48,2.32,45.68,240.0959665,95.994,5.604640000000001,90.38936,935.1999999999999,360,7.4,352.6,26.514799999999997,20.64,0.044800000000000006,20.595200000000002,48,36,0.08,35.92,108.49743839199999,81.708324,0.221544,81.48678000000001,298,330,0.03
NaCa0.98PO4Ce0.02,7,4,0.02,3.98,112,58,8,50,250.15653127800002,140.116,15.999,124.11700000000002,705,185,60,125,8.68,3.44,0.93,2.51,16,6,1,5,40.89557190000001,13.618054,5.1390767,8.4789773,78.75999999999999,32,1.16,30.84,160.038291278,63.996,2.8023200000000004,61.19368,700.1,240,3.7,236.3,17.8824,13.76,0.022400000000000003,13.7376,32,24,0.04,23.96,76.199642796,54.472216,0.110772,54.361444000000006,298,328,0.03
NaCa0.99BO3Ce0.01,6,3,0.01,2.99,102,58,5,53,229.99276928,140.116,10.81,129.306,690,185,60,125,8.530000000000001,3.44,0.93,2.51,14,6,1,5,38.706904900000005,13.618054,5.1390767,8.4789773,60.379999999999995,24,0.58,23.42,122.87514928000002,47.997,1.4011600000000002,46.59584,625.0500000000001,180,1.85,178.15,14.291200000000002,10.32,0.011200000000000002,10.3088,24,18,0.02,17.98,60.398667348000004,40.854162,0.055386,40.798776000000004,298,360,0.031
Ca1.92Ga2SiO7Ce0.04Li0.04,11.999999999999998,7,0.04,6.96,134,58,3,55,300.941,140.116,6.94,133.17600000000002,810,185,60,125,10.25,3.44,0.98,2.46,18,6,1,5,44.812508761000004,13.618054,5.391714761,8.226339239000001,172.84,62,0.12,61.88,362.35600000000005,139.446,0.2776,139.1684,1148.8,420,5.8,414.2,31.603999999999996,24.08,0.0392,24.040799999999997,55.96,42,0.04,41.96,127.65113517444,95.326378,0.21566859044,95.11070940956,298,330,0.032
