Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),Emission energy (nm),Decay Time (ns)
Sr8ZnScP7O28Tb0.1,45.1,28,0.1,27.9,177,65,8,57,403.854019998,158.92535,15.999,142.92635,830,200,60,140,9.59,3.44,0,3.44,30,12,2,10,51.6190962,13.618054,5.6948672,7.923186800000001,690.5,304,6.5,297.5,1491.976776986,700.96,15.892535000000002,685.0674650000001,4292.5,1680,17.5,1662.5,122.25999999999999,96.32,0,96.32,234.2,168,0.2,167.8,516.8133206,381.305512,0.58638,380.719132,298,370,546,0.021189299
Sr8ZnScP7O28Tb0.02,45.02,28,0.02,27.98,177,65,8,57,403.854019998,158.92535,15.999,142.92635,830,200,60,140,9.59,3.44,0,3.44,30,12,2,10,51.6190962,13.618054,5.6948672,7.923186800000001,685.3,304,1.3,302.7,1479.2627489860001,700.96,3.178507,697.7814930000001,4278.5,1680,3.5,1676.5,122.25999999999999,96.32,0,96.32,234.04,168,0.04,167.96,516.3442166,381.305512,0.117276,381.188236,298,370,546,0.068185862
Ca7MgSi4O16Ce0.04Eu0.08,28.119999999999997,16,0.04,15.96,175,63,8,55,400.547,151.964,15.999,135.965,870,185,60,125,8.77,3.44,0,3.44,18,6,2,4,46.7381122,13.618054,5.5386,8.079454000000002,343.36,140,2.32,137.68,690.93676,280.54600000000005,5.604640000000001,274.94136000000003,2832.2000000000003,1260,7.4,1252.6,70.9948,55.04,0,55.04,128.24,96,0.08,95.92,301.6090922,217.888864,0.221544,217.66732000000002,298,365,440,0.146128036
Bi3TiNbO9Eu0.05,14.05,9,0.05,8.95,217,83,8,75,517.71677,208.9804,15.999,192.9814,690,185,60,125,8.48,3.44,0,3.44,22,6,2,4,40.16092499999999,13.618054,5.670385,7.947669000000001,387.15,249,3.1500000000000004,245.85,919.30377,626.9412,7.5982,619.343,1314.25,540,9.25,530.75,39.8,30.96,0,30.96,78.1,54,0.1,53.9,158.28952325000003,122.562486,0.28351925,122.27896675000001,298,355,616,0.184691431
Bi3TiNbO9Eu0.003,14.003,9,0.003,8.997,217,83,8,75,517.71677,208.9804,15.999,192.9814,690,185,60,125,8.48,3.44,0,3.44,22,6,2,4,40.16092499999999,13.618054,5.670385,7.947669000000001,384.189,249,0.189,248.811,912.1614619999999,626.9412,0.455892,626.485308,1305.555,540,0.555,539.445,39.8,30.96,0,30.96,78.006,54,0.006,53.994,158.02301515500002,122.562486,0.017011155,122.545474845,298,355,616,0.187520721
Bi3TiNbO9Eu0.035,14.035,9,0.035,8.965,217,83,8,75,517.71677,208.9804,15.999,192.9814,690,185,60,125,8.48,3.44,0,3.44,22,6,2,4,40.16092499999999,13.618054,5.670385,7.947669000000001,386.205,249,2.205,246.795,917.02431,626.9412,5.31874,621.6224599999999,1311.475,540,6.4750000000000005,533.525,39.8,30.96,0,30.96,78.07,54,0.07,53.93,158.20446747500003,122.562486,0.198463475,122.36402252500001,298,355,616,0.190331698
Ba2Y0.47B2O6ClCe0.03Tb0.5,11.999999999999998,6,0.03,5.97,248,65,5,60,587.53319,158.92535,10.81,148.11535,1000,215,60,155,11.870000000000001,3.44,0,3.44,25,7,2,5,57.715027,13.618054,5.211664,8.406390000000002,239.57,112,1.74,110.26,553.1698998,274.654,4.20348,270.45052,1237.6499999999999,430,5.55,424.45,30.267,20.64,0,20.64,55.47,36,0.06,35.94,127.7154902,81.708324,0.16615799999999997,81.54216600000001,298,360,420,0.198657087
Sr8ZnScP7O28Tb0.14,45.14,28,0.14,27.86,177,65,8,57,403.854019998,158.92535,15.999,142.92635,830,200,60,140,9.59,3.44,0,3.44,30,12,2,10,51.6190962,13.618054,5.6948672,7.923186800000001,693.1,304,9.100000000000001,294.9,1498.3337909860002,700.96,22.249549000000002,678.710451,4299.5,1680,24.500000000000004,1655.5,122.25999999999999,96.32,0,96.32,234.28,168,0.28,167.72,517.0478726,381.305512,0.8209320000000001,380.48458,298,370,546,0.23299611
CaGdW4O16Tb0.5,22.5,16,0.5,15.5,231,74,8,66,556.09235,183.84,15.999,167.841,730,180,60,120,7.34,3.44,0,3.44,18,6,2,4,39.6088352,13.618054,5.8638,7.754254,540.5,296,20,276,1268.134675,735.36,40.078,695.282,1947.5,960,87.5,872.5,64.03999999999999,55.04,0,55.04,125,96,1,95,264.5398352,217.888864,2.9319,214.956964,298,380,545,0.241845378
Ba0.4Mg1.6B2O5Ce0.005,9.005,5,0.005,4.995,139,58,5,53,328.557,140.116,10.81,129.306,695,215,60,155,8.8,3.44,0.89,2.55,15,6,2,4,40.312572,13.618054,5.211664,8.406390000000002,91.89000000000001,40,0.29,39.71,196.13438000000002,79.995,0.7005800000000001,79.29442,796.925,300,0.925,299.075,23.7376,17.2,0.005600000000000001,17.194399999999998,40.01,30,0.01,29.99,99.0326426,68.09027,0.027693,68.062577,298,360,438,0.307496038
