Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),EQE
BaMgSi4O10Mn0.08,16.08,10,0.08,9.92,115,56,8,48,260.654044,137.327,15.999,121.328,675,215,60,155,9.09,3.44,0.89,2.55,21,7,2,5,42.061654000000004,13.618054,5.211664,8.406390000000002,206,80,2,78,438.35704352,159.99,4.39504352,155.59495648,1416.2,600,11.200000000000001,588.8,44.324000000000005,34.4,0.12400000000000001,34.275999999999996,80.56,60,0.56,59.44,182.23989244,136.18054,0.59472144,135.58581856,298,440,0.1
NaLa0.95MgWO6Sm0.05,10,6,0.05,5.95,224,74,8,66,536.3992392800001,183.84,15.999,167.841,905,195,60,135,9.65,3.44,0.93,2.51,20,6,1,5,45.4880057,13.618054,5.1390767,8.4789773,202.25,74,3.1,70.9,466.60696578,183.84,7.518000000000001,176.322,1019.5,360,9.25,350.75,25.6835,20.64,0.058499999999999996,20.581500000000002,47.95,36,0.1,35.9,107.9379062,81.708324,0.2821855,81.42613850000001,298,405,2.8
K2BiPO8MoSm0.25,13.25,8,0.25,7.75,229,83,8,75,541.3614619980001,208.9804,15.999,192.9814,870,220,60,160,11.68,3.44,0.82,2.62,25,6,1,5,48.46705954,13.618054,4.34066354,9.27739046,257.5,83,15,68,579.682761998,208.9804,30.973761998,178.006638002,1371.25,480,46.25,433.75,35.70249999999999,27.52,0.2925,27.2275,66.5,48,0.5,47.5,143.90131858000004,108.944432,1.4109275,107.5335045,298,404,3
Y2O3Eu0.05,5.05,3,0.05,2.95,110,63,8,55,256.86884,151.964,15.999,135.965,425,185,60,125,4.66,3.44,0,3.44,11,6,2,4,25.505699,13.618054,5.670385,7.947669000000001,105.15,78,3.1500000000000004,74.85,233.40687999999997,177.81168,7.5982,170.21348,549.25,360,9.25,350.75,12.76,10.32,0,10.32,24.1,18,0.1,17.9,53.57220125,40.854162,0.28351925,40.570642750000005,298,394,3
Cs2SiF6Mn0.1075,9.1075,6,0.1075,5.8925,103,55,9,46,234.926899123,132.90545196,18.998403163,113.90704879699999,560,260,50,210,8.22,3.98,0.79,3.19,19,7,1,6,36.902426548,17.42282,3.893905548,13.528914452000002,180.6875,110,2.6875,107.3125,413.79216262799997,265.81090392,5.905839729999999,259.90506418999996,945.05,520,15.049999999999999,504.95,27.526625,23.88,0.166625,23.713375,48.7525,42,0.7525,41.2475,121.27557103100001,104.53692000000001,0.799156935,103.73776306500001,573,460,3.42
Ba2Y3Si3O12FEu0.04,21.04,12,0.04,11.96,189,63,8,55,441.279243163,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156000000003,378.52,117,2.52,114.48,842.6914831629999,274.654,6.07856,268.57544,2077.4,720,7.4,712.6,56.4,41.28,0,41.28,104.08,72,0.08,71.92,234.5964404,163.416648,0.2268154,163.18983260000002,298,350,3.6
NaLa0.8MgWO6Tb0.2,10,6,0.2,5.8,227,74,8,66,544.96458928,183.84,15.999,167.841,895,195,60,135,8.48,3.44,0,3.44,20,6,1,5,45.7080957,13.618054,5.1390767,8.4789773,203.6,74,11,63,470.03821528000003,183.84,22.98976928,160.85023072,1016,360,35,325,25.46,20.64,0,20.64,47.8,36,0.4,35.6,107.9919457,81.708324,1.17276,80.53556400000001,298,485,3.8
Ba2Y3Si3O12FEu0.02,21.02,12,0.02,11.98,189,63,8,55,441.279243163,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156000000003,377.26,117,1.26,115.74,839.6522031629999,274.654,3.03928,271.61472,2073.7,720,3.7,716.3,56.4,41.28,0,41.28,104.04,72,0.04,71.96,234.48303270000002,163.416648,0.1134077,163.3032403,298,350,4.4
Ca2.91Mo0.2W0.8O6Eu0.09,10,6,0.09,5.91,207,74,8,66,487.8310000000001,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669000000001,179.47,59.2,5.67,53.53,392.5597400000001,147.072,13.67676,133.39524,1037.45,523.8000000000001,16.65,507.1500000000001,25.342,20.64,0,20.64,48,36,0.18,35.82,107.71765028200001,81.708324,0.5103346499999999,81.19798935,298,465,4.4
Ba2Y3Si3O12FEu0.01,21.01,12,0.01,11.99,189,63,8,55,441.279243163,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156000000003,376.63,117,0.63,116.37,838.1325631629999,274.654,1.51964,273.13436,2071.85,720,1.85,718.15,56.4,41.28,0,41.28,104.02,72,0.02,71.98,234.42632885,163.416648,0.05670385,163.35994415000002,298,350,4.9
