Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),Emission peak (nm)
Ca2Y0.992Zr2Al3O12Bi0.008,20,12,0.008,11.992,203,83,8,75,472.16877850000003,208.9804,15.999,192.9814,860,180,60,120,10.5,3.44,1,2.44,23,6,2,4,45.8536536,13.618054,5.9857684,7.6322856,294.352,96,0.664,95.336,625.40305198,191.988,1.6718432,190.3161568,1944.84,720,1.28,718.72,51.99544,41.28,0.0152,41.2648,96.016,72,0.04,71.96,213.093869648,163.416648,0.058284128000000004,163.358363872,298,278,313
Ca8NaGd0.98P6O24F2Ce0.02,42.00000000000001,24,0.02,23.98,185,64,8,56,426.404934441,157.25,15.999,141.251,935,185,50,135,13.86,3.98,0.93,3.05,25,7,1,6,64.4681879,17.42282,5.1390767,12.283743300000001,534.88,192,1.16,190.84,1108.3364675940002,383.976,2.8023200000000004,381.17368,3940.1,1440,3.7,1436.3,113.78840000000001,82.56,0.022400000000000003,82.5376,207,144,0.04,143.96,484.78094238000006,326.833296,0.110772,326.722524,298,303,337
Ca7.99NaGd0.98P6O24F2Ce0.02Mn0.01,42,24,0.01,23.99,210,64,8,56,481.342978441,157.25,15.999,141.251,1075,185,50,135,15.41,3.98,0.93,3.05,32,7,1,6,71.9022059,17.42282,5.1390767,12.283743300000001,534.93,192,0.25,191.75,1108.4850680340003,383.976,0.54938044,383.42661956,3939.7000000000003,1440,1.4000000000000001,1438.6,113.79390000000001,82.56,0.015500000000000002,82.5445,207.04999999999998,144,0.04,143.96,484.79415100800003,326.833296,0.07434018,326.75895582000004,298,303,337
Ca7.96NaGd0.98P6O24F2Ce0.02Mn0.04,42,24,0.02,23.98,210,64,8,56,481.342978441,157.25,15.999,141.251,1075,185,50,135,15.41,3.98,0.93,3.05,32,7,1,6,71.9022059,17.42282,5.1390767,12.283743300000001,535.0799999999999,192,1,191,1108.9308693540002,383.976,2.19752176,381.77847824,3938.4999999999995,1440,3.7,1436.3,113.8104,82.56,0.022400000000000003,82.5376,207.2,144,0.04,143.96,484.833776892,326.833296,0.110772,326.722524,298,303,337
Ca7.92NaGd0.98P6O24F2Ce0.02Mn0.07,41.99,24,0.02,23.98,210,64,8,56,481.342978441,157.25,15.999,141.251,1075,185,50,135,15.41,3.98,0.93,3.05,32,7,1,6,71.9022059,17.42282,5.1390767,12.283743300000001,535.03,192,1.16,190.84,1108.975890674,383.976,2.8023200000000004,381.17368,3935.5,1440,3.7,1436.3,113.8169,82.56,0.022400000000000003,82.5376,207.33,144,0.04,143.96,484.812271224,326.833296,0.110772,326.722524,298,303,337
Ca7.9NaGd0.98P6O24F2Ce0.02Mn0.1,42.00000000000001,24,0.02,23.98,210,64,8,56,481.342978441,157.25,15.999,141.251,1075,185,50,135,15.41,3.98,0.93,3.05,32,7,1,6,71.9022059,17.42282,5.1390767,12.283743300000001,535.38,192,1.16,190.84,1109.8224719940004,383.976,2.8023200000000004,381.17368,3936.1,1440,3.7,1436.3,113.8434,82.56,0.022400000000000003,82.5376,207.49999999999997,144,0.04,143.96,484.91302866,326.833296,0.110772,326.722524,298,303,337
Ca7.87NaGd0.98P6O24F2Ce0.02Mn0.13,42.00000000000001,24,0.02,23.98,210,64,8,56,481.342978441,157.25,15.999,141.251,1075,185,50,135,15.41,3.98,0.93,3.05,32,7,1,6,71.9022059,17.42282,5.1390767,12.283743300000001,535.53,192,1.16,190.84,1110.268273314,383.976,2.8023200000000004,381.17368,3934.8999999999996,1440,3.7,1436.3,113.8599,82.56,0.022400000000000003,82.5376,207.64999999999998,144,0.04,143.96,484.95265454400004,326.833296,0.110772,326.722524,298,303,337
Ca7.84NaGd0.98P6O24F2Ce0.02Mn0.16,42,24,0.02,23.98,210,64,8,56,481.342978441,157.25,15.999,141.251,1075,185,50,135,15.41,3.98,0.93,3.05,32,7,1,6,71.9022059,17.42282,5.1390767,12.283743300000001,535.68,192,1.16,190.84,1110.714074634,383.976,2.8023200000000004,381.17368,3933.7000000000003,1440,3.7,1436.3,113.8764,82.56,0.022400000000000003,82.5376,207.79999999999998,144,0.04,143.96,484.992280428,326.833296,0.110772,326.722524,298,303,337
Sr0.788Ca1.182Sb2O7Bi0.03,10.999999999999998,7,0.03,6.97,200,83,8,75,474.4374,208.9804,15.999,192.9814,745,200,60,140,9.34,3.44,0.95,2.49,20,6,2,4,41.3199814,13.618054,5.6948672,7.923186800000001,214.074,102,2.4899999999999998,99.51,478.199168,243.52,6.269412,237.25058800000002,1085.16,420,4.8,415.2,30.167599999999997,24.08,0.056999999999999995,24.023,56.089999999999996,42,0.15,41.85,124.47502628000001,95.326378,0.21856548,95.10781252000001,298,372,347
Sr0.394Ca1.576Sb2O7Bi0.03,11,7,0.03,6.97,200,83,8,75,474.4374,208.9804,15.999,192.9814,745,200,60,140,9.34,3.44,0.95,2.49,20,6,2,4,41.3199814,13.618054,5.6948672,7.923186800000001,206.98200000000003,102,2.4899999999999998,99.51,459.46762,243.52,6.269412,237.25058800000002,1077.28,420,4.8,415.2,30.187299999999997,24.08,0.056999999999999995,24.023,56.089999999999996,42,0.15,41.85,124.639831752,95.326378,0.21856548,95.10781252000001,298,372,347
