Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Emission energy (nm),Excitation peak (nm)
Ca9Lu0.1P7O28Tb0.9,45,28,0.1,27.9,179,71,8,63,420.942911998,174.9668,15.999,158.9678,690,180,60,120,7.629999999999999,3.44,0,3.44,17,6,2,4,41.5075662,13.618054,5.425871,8.192183,574.6,224,7.1000000000000005,216.9,1186.019828986,447.97200000000004,17.49668,430.47532,4175,1680,17.5,1662.5,120.75,96.32,0,96.32,223,168,0.2,167.8,515.5507179,381.305512,0.5425871,380.76292490000003,298,545,147
Sr3Al2O5Cl2Ce0.01Eu0.005,12.015,5,0.005,4.995,197,63,8,55,458.1305385,151.964,15.999,135.965,855,200,60,140,10.280000000000001,3.44,0,3.44,22,7,2,5,49.4753046,13.618054,5.5386,8.079454000000002,214.895,114,0.315,113.685,469.879057,262.86,0.75982,262.10018,1352.7749999999999,600,0.925,599.075,29.6012,17.2,0,17.2,56.03,30,0.01,29.99,123.165406325,68.09027,0.028351925,68.06191807500001,298,444,215
Sr3Al2O5Cl2Ce0.01Eu0.0075,12.0175,5,0.0075,4.9925,197,63,8,55,458.1305385,151.964,15.999,135.965,855,200,60,140,10.280000000000001,3.44,0,3.44,22,7,2,5,49.4753046,13.618054,5.5386,8.079454000000002,215.0525,114,0.4725,113.5275,470.258967,262.86,1.13973,261.72027,1353.2375,600,1.3875,598.6125,29.6012,17.2,0,17.2,56.035000000000004,30,0.015,29.985,123.17958228750001,68.09027,0.04252788749999999,68.0477421125,298,444,215
Sr3Al2O5Cl2Ce0.01Eu0.01,12.02,5,0.01,4.99,197,63,8,55,458.1305385,151.964,15.999,135.965,855,200,60,140,10.280000000000001,3.44,0,3.44,22,7,2,5,49.4753046,13.618054,5.5386,8.079454000000002,215.21,114,0.58,113.42,470.638877,262.86,1.4011600000000002,261.45884,1353.6999999999998,600,1.85,598.15,29.6012,17.2,0,17.2,56.040000000000006,30,0.02,29.98,123.19375825000002,68.09027,0.055386,68.034884,298,444,215
Ba3La0.99KP3O12FTb0.01,21.000000000000004,12,0.01,11.99,229,65,8,57,540.227285161,158.92535,15.999,142.92635,1015,220,50,170,12.42,3.98,0,3.98,26,7,1,6,62.52058754,17.42282,4.34066354,13.08215646,394.08,168,0.65,167.35,894.0926579570001,411.981,1.5892535,410.3917465,2129.8,720,1.75,718.25,56.409,41.28,0,41.28,103.99,72,0.02,71.98,237.85495054000003,163.416648,0.058638,163.35801,298,419,225
MgY2Si3O10Eu0.14,16.14,10,0.14,9.86,136,63,8,55,309.25883999999996,151.964,15.999,135.965,685,185,60,125,7.869999999999999,3.44,0,3.44,17,6,2,4,41.303617,13.618054,5.670385,7.947669000000001,220.82,80,8.82,71.18,467.63664,177.81168,21.27496,156.53672,1465.9,600,25.900000000000002,574.1,43.849999999999994,34.4,0,34.4,80.28,60,0.28,59.72,181.51019789999998,136.18054,0.7938539,135.38668610000002,298,613,230
Ba3In3.92P6O24Tb0.02,36.940000000000005,24,0.02,23.98,193,65,8,57,458.043111998,158.92535,15.999,142.92635,705,215,60,155,8.299999999999999,3.44,0,3.44,18,6,2,4,40.9665592,13.618054,5.211664,8.406390000000002,643.3799999999999,192.07999999999998,1.3,190.77999999999997,1435.0646389879998,450.08655999999996,3.178507,446.90805299999994,3296.1,1440,3.5,1436.5,105.3476,82.56,0,82.56,191.79999999999998,144,0.04,143.96,428.18819238400005,326.833296,0.117276,326.71602,298,549,231
Ba3In3.88P6O24Tb0.03,36.91,24,0.03,23.97,193,65,8,57,458.043111998,158.92535,15.999,142.92635,705,215,60,155,8.299999999999999,3.44,0,3.44,18,6,2,4,40.9665592,13.618054,5.211664,8.406390000000002,642.07,192,1.95,190.05,1432.061172488,445.49384,4.7677605000000005,440.72607949999997,3291.65,1440,5.25,1434.75,105.2764,82.56,0,82.56,191.7,144,0.06,143.94,428.015376176,326.833296,0.17591400000000001,326.65738200000004,298,549,231
Ba3In3.84P6O24Tb0.04,36.88,24,0.04,23.96,193,65,8,57,458.043111998,158.92535,15.999,142.92635,705,215,60,155,8.299999999999999,3.44,0,3.44,18,6,2,4,40.9665592,13.618054,5.211664,8.406390000000002,640.76,192,2.6,189.4,1429.057705988,440.90112,6.357014,434.544106,3287.2,1440,7,1433,105.2052,82.56,0,82.56,191.6,144,0.08,143.92,427.84255996800005,326.833296,0.234552,326.598744,298,549,231
Ba3In3.80P6O24Tb0.05,36.849999999999994,24,0.05,23.95,193,65,8,57,458.043111998,158.92535,15.999,142.92635,705,215,60,155,8.299999999999999,3.44,0,3.44,18,6,2,4,40.9665592,13.618054,5.211664,8.406390000000002,639.45,192,3.25,188.75,1426.054239488,436.30839999999995,7.946267500000001,428.3621325,3282.75,1440,8.75,1431.25,105.134,82.56,0,82.56,191.5,144,0.1,143.9,427.66974376,326.833296,0.29319,326.54010600000004,298,549,231
