Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),IQE
Mg2Y8Si6O26Mn0.18,42.18,26,0.18,25.82,98,39,8,31,212.23288399999998,88.90584,15.999,72.90684,640,180,60,120,9.42,3.44,1.22,2.2199999999999998,22,7,2,5,43.06725,13.618054,6.21726,7.400794000000001,632.5,312,4.5,307.5,1354.22956792,711.24672,9.88884792,701.35787208,3985.2,1560,25.2,1534.8,113.499,89.44,0.27899999999999997,89.161,209.26,156,1.26,154.74,469.34817524000005,354.069404,1.33812324,352.73128076,298,409,0.105
LaMgAl11O19Sm0.05Eu0.3,32.349999999999994,19,0.05,18.95,215,63,8,55,508.5150085,151.964,15.999,135.965,900,195,60,135,8.63,3.44,0,3.44,18,6,2,4,44.14105239999999,13.618054,5.5769,8.041154,386,152,3.1,148.9,817.0955935000001,303.981,7.518000000000001,296.46299999999997,2924.75,1375,9.25,1365.75,85.5385,65.36,0,65.36,152.7,114,0.1,113.9,339.79291440000003,258.743026,0.2821855,258.46084049999996,298,403,0.14
LaMgAl11O19Sm0.05Eu0.01,32.059999999999995,19,0.01,18.99,215,63,8,55,508.5150085,151.964,15.999,135.965,900,195,60,135,8.63,3.44,0,3.44,18,6,2,4,44.14105239999999,13.618054,5.5769,8.041154,367.73,152,0.63,151.37,773.0260335,303.981,1.51964,302.46136,2871.1,1375,1.85,1373.15,85.5385,65.36,0,65.36,152.12,114,0.02,113.98,338.14850275000003,258.743026,0.05670385,258.68632214999997,298,403,0.25
Ca4.1P2SiO12Ce0.03Mn0.15,19.28,12,0.03,11.97,140,58,8,50,310.189805998,140.116,15.999,124.11700000000002,775,185,60,125,11.2,3.44,1,2.44,26,7,2,5,51.342196200000004,13.618054,5.5386,8.079454000000002,227.49,96,1.74,94.26,458.784510596,191.988,4.20348,187.78452,1794.55,737.9999999999999,5.55,732.4499999999999,51.926100000000005,41.28,0.033600000000000005,41.2464,95.31,72,0.06,71.94,218.88690001999998,163.416648,0.16615799999999997,163.25049,298,307,0.287
LaMgAl11O19Sm0.05Eu0.05,32.099999999999994,19,0.05,18.95,215,63,8,55,508.5150085,151.964,15.999,135.965,900,195,60,135,8.63,3.44,0,3.44,18,6,2,4,44.14105239999999,13.618054,5.5769,8.041154,370.25,152,3.1,148.9,779.1045935000001,303.981,7.518000000000001,296.46299999999997,2878.5,1375,9.25,1365.75,85.5385,65.36,0,65.36,152.2,114,0.1,113.9,338.37531815,258.743026,0.2821855,258.46084049999996,298,403,0.29
LaMgAl11O19Sm0.05Eu0.03,32.08,19,0.03,18.97,215,63,8,55,508.5150085,151.964,15.999,135.965,900,195,60,135,8.63,3.44,0,3.44,18,6,2,4,44.14105239999999,13.618054,5.5769,8.041154,368.99,152,1.89,150.11,776.0653135,303.981,4.55892,299.42208,2874.8,1375,5.55,1369.45,85.5385,65.36,0,65.36,152.16,114,0.06,113.94,338.26191045,258.743026,0.17011154999999997,258.57291445,298,403,0.3
LaMgAl11O19Sm0.05Eu0.1,32.15,19,0.05,18.95,215,63,8,55,508.5150085,151.964,15.999,135.965,900,195,60,135,8.63,3.44,0,3.44,18,6,2,4,44.14105239999999,13.618054,5.5769,8.041154,373.40000000000003,152,3.1,148.9,786.7027935000001,303.981,7.518000000000001,296.46299999999997,2887.75,1375,9.25,1365.75,85.5385,65.36,0,65.36,152.29999999999998,114,0.1,113.9,338.65883740000004,258.743026,0.2821855,258.46084049999996,298,403,0.3
BaMgSi4O10Mn0.08,16.08,10,0.08,9.92,115,56,8,48,260.654044,137.327,15.999,121.328,675,215,60,155,9.09,3.44,0.89,2.55,21,7,2,5,42.061654000000004,13.618054,5.211664,8.406390000000002,206,80,2,78,438.35704352,159.99,4.39504352,155.59495648,1416.2,600,11.200000000000001,588.8,44.324000000000005,34.4,0.12400000000000001,34.275999999999996,80.56,60,0.56,59.44,182.23989244,136.18054,0.59472144,135.58581856,298,440,0.3
Ca4.35P2SiO12Ce0.03Mn0.1,19.480000000000004,12,0.03,11.97,140,58,8,50,310.189805998,140.116,15.999,124.11700000000002,775,185,60,125,11.2,3.44,1,2.44,26,7,2,5,51.342196200000004,13.618054,5.5386,8.079454000000002,231.24,96,1.74,94.26,466.057108396,191.988,4.20348,187.78452,1832.55,782.9999999999999,5.55,777.4499999999999,52.098600000000005,41.28,0.033600000000000005,41.2464,95.46000000000001,72,0.06,71.94,220.04348792,163.416648,0.16615799999999997,163.25049,298,307,0.318
LaMgAl11O19Eu0.1,32.1,19,0.1,18.9,153,63,8,55,358.1550085,151.964,15.999,135.965,715,195,60,135,7.460000000000001,3.44,0,3.44,16,6,2,4,38.497342399999994,13.618054,5.5769,8.041154,370.3,152,6.300000000000001,145.7,779.1847935000001,303.981,15.1964,288.7846,2878.5,1375,18.5,1356.5,85.48,65.36,0,65.36,152.2,114,0.2,113.8,338.3766519,258.743026,0.5670385,258.17598749999996,298,464,0.33
K0.45Na0.45NbO3Eu0.05Bi0.05,5,3,0.05,2.95,225,83,8,75,531.93783928,208.9804,15.999,192.9814,950,220,60,160,8.69,3.44,0,3.44,20,6,1,5,42.812545240000006,13.618054,4.34066354,9.27739046,85.80000000000001,41,3.1500000000000004,37.85,186.89022117599998,92.90637,7.5982,85.30816999999999,522.25,180,8,172,12.8025,10.32,0,10.32,24.25,18,0.1,17.9,52.526690158,40.854162,0.28351925,40.570642750000005,298,465,0.34
LaMgAl11O19Sm0.05,32.05,19,0.05,18.95,152,62,8,54,356.5510085,150.36,15.999,134.36100000000002,715,195,60,135,8.63,3.44,1.1,2.34,16,6,2,4,38.470667399999996,13.618054,5.5769,8.041154,367.1,152,3.1,148.9,771.5063935000001,303.981,7.518000000000001,296.46299999999997,2869.25,1375,9.25,1365.75,85.5385,65.36,0.058499999999999996,65.3015,152.1,114,0.1,113.9,338.0917989,258.743026,0.2821855,258.46084049999996,298,403,0.34
Ca4.5P2SiO12Ce0.03Mn0.07,19.6,12,0.03,11.97,140,58,8,50,310.189805998,140.116,15.999,124.11700000000002,775,185,60,125,11.2,3.44,1,2.44,26,7,2,5,51.342196200000004,13.618054,5.5386,8.079454000000002,233.49,96,1.74,94.26,470.42066707600003,191.988,3.84566308,188.14233692,1855.35,810,5.55,804.45,52.2021,41.28,0.033600000000000005,41.2464,95.55,72,0.06,71.94,220.73744066,163.416648,0.16615799999999997,163.25049,298,307,0.345
Ca4.6P2SiO12Ce0.03Mn0.05,19.680000000000003,12,0.03,11.97,140,58,8,50,310.189805998,140.116,15.999,124.11700000000002,775,185,60,125,11.2,3.44,1,2.44,26,7,2,5,51.342196200000004,13.618054,5.5386,8.079454000000002,234.99,96,1.25,94.75,473.329706196,191.988,2.7469022,189.2410978,1870.55,827.9999999999999,5.55,822.4499999999999,52.271100000000004,41.28,0.033600000000000005,41.2464,95.61,72,0.06,71.94,221.20007582,163.416648,0.16615799999999997,163.25049,298,307,0.371
Ca4.7P2SiO12Ce0.03Mn0.03,19.76,12,0.03,11.97,140,58,8,50,310.189805998,140.116,15.999,124.11700000000002,775,185,60,125,11.2,3.44,1,2.44,26,7,2,5,51.342196200000004,13.618054,5.5386,8.079454000000002,236.49,96,0.75,95.25,476.238745316,191.988,1.64814132,190.33985868,1885.75,846,4.2,841.8,52.34010000000001,41.28,0.033600000000000005,41.2464,95.67,72,0.06,71.94,221.66271097999999,163.416648,0.16615799999999997,163.25049,298,307,0.379
