Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),T50 (K)
Ca0.96ZnOSEu0.04,4,1,0.04,0.96,137,63,8,55,305.481,151.964,15.999,135.965,660,185,60,125,8.67,3.44,0,3.44,28,12,2,10,45.15580320000001,13.618054,5.670385,7.947669000000001,75.72,30,2.52,27.48,157.99244000000002,65.38,6.07856,59.30143999999999,475.19999999999993,172.79999999999998,7.4,165.39999999999998,8.629999999999999,3.44,0,3.44,26,12,0.08,11.92,39.467707392,13.618054,0.2268154,13.391238600000001,460,120
Ca0.997AlSiN3Yb0.003,6,3,0.003,2.997,124,70,7,63,282.1965385,173.045,14.007,159.03799999999998,655,180,65,115,7.55,3.04,0,3.04,16,5,2,3,41.038896599999994,14.53413,5.9857684,8.5483616,68.14999999999999,21,0.21,20.79,137.5644395,42.021,0.519135,41.501865,609.985,195,0.525,194.475,13.627,9.120000000000001,0,9.120000000000001,24,15,0.006,14.994,63.853419614399996,43.60239,0.018762479999999998,43.58362752,465,135
Ca1.96Si5N8Eu0.04,15,8,0.04,7.96,104,63,7,56,234.13400000000001,151.964,14.007,137.957,540,185,65,120,5.9399999999999995,3.04,0,3.04,13,5,2,3,34.4693532,14.53413,5.670385,8.863745,167.72,70,2.52,67.48,337.11244,140.425,6.07856,134.34644,1430.2,550,7.4,542.6,35.78,24.32,0,24.32,64,40,0.08,39.92,169.24005459199998,116.27304,0.2268154,116.04622459999999,450,185
Ba1.96Si5N8Eu0.04,15,8,0.04,7.96,140,63,7,56,331.38300000000004,151.964,14.007,137.957,575,215,65,150,5.83,3.04,0,3.04,13,5,2,3,33.567862000000005,14.53413,5.211664,9.322465999999999,238.28,109.75999999999999,2.52,107.24,527.7204800000001,269.16092,6.07856,263.08236,1498.8000000000002,550,7.4,542.6,35.5644,24.32,0,24.32,64,40,0.08,39.92,167.47313183999998,116.27304,0.2268154,116.04622459999999,450,260
Sr1.96Si5N8Eu0.04,15,8,0.04,7.96,122,63,7,56,281.67600000000004,151.964,14.007,137.957,560,200,65,135,5.89,3.04,0,3.04,13,5,2,3,34.0510652,14.53413,5.670385,8.863745,203.00000000000003,74.48,2.52,71.96000000000001,430.29476,171.7352,6.07856,165.65663999999998,1469.4,550,7.4,542.6,35.682,24.32,0,24.32,64,40,0.08,39.92,168.42021011199998,116.27304,0.2268154,116.04622459999999,450,300
LiCa3ZnV3O12,20,12,1,11,84,30,3,27,179.33849999999998,65.38,6.94,58.44,655,180,60,120,8.7,3.44,0.98,2.46,26,12,1,11,41.263309961000004,13.618054,5.391714761,8.226339239000001,258,96,3,93,537.3665000000001,191.988,6.94,185.048,1945,720,135,585,51.8,41.28,0.98,40.300000000000004,106,72,1,71,216.780588361,163.416648,5.391714761,158.024933239,330,323
SrLaScO4Mn0.008,7.008,4,0.008,3.992,149,57,8,49,342.418422,138.90547,15.999,122.90647000000001,755,200,60,140,8.4,3.44,0.95,2.49,21,7,2,5,38.8853292,13.618054,5.5769,8.041154,148.2,57,0.2,56.8,335.91688235199996,138.90547,0.439504352,138.465965648,796.12,240,1.12,238.88,17.1824,13.76,0.012400000000000001,13.7476,32.056,24,0.056,23.944,72.36494534399999,54.472216,0.059472144000000005,54.412743856000006,350,328
Ca2KZn2V3O12,20,12,1,11,100,30,8,22,211.49679999999998,65.38,15.999,49.38099999999999,730,220,60,160,8.54,3.44,0.82,2.62,26,12,1,11,40.212258739999996,13.618054,4.34066354,9.27739046,284,96,19,77,594.8268,191.988,39.0983,152.8897,1975,720,220,500,52.29,41.28,0.82,40.46,116,72,1,71,219.01058094,163.416648,4.34066354,159.07598446,389,335
Ba3Sc3.996O9Ce0.004,16,9,0.004,8.996,143,58,8,50,338.39790800000003,140.116,15.999,124.11700000000002,620,215,60,155,6.81,3.44,0.89,2.55,13,6,2,4,30.929807999999998,13.618054,5.211664,8.406390000000002,324.148,168,0.232,167.768,736.176272368,411.981,0.5604640000000001,411.42053599999997,1825.1000000000001,645,0.74,644.26,39.06904,30.96,0.0044800000000000005,30.95552,71.996,54,0.008,53.992,164.43934644,122.562486,0.0221544,122.5403316,430,335
LiCa3MgV3O12,20,12,1,11,66,23,3,20,138.2635,50.9415,6.94,44.0015,670,180,60,120,8.36,3.44,0.98,2.46,16,6,1,5,39.515345961,13.618054,5.391714761,8.226339239000001,240,96,3,93,496.2915,191.988,6.94,185.048,1960,720,145,575,51.46,41.28,0.98,40.300000000000004,96,72,1,71,215.032624361,163.416648,5.391714761,158.024933239,330,336
